Symbol,Company Name,Industry,Prior Close,5 Day Chg_x,4 Week Chg_x,52 Week Chg,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,P/E Ratio (TTM)*,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
CD/WD,CDW Corp,Integrated Hardware & Software,158.59,-2.68%,-2.00%,-35.00%,0,0,0.0,1.0,1,0.0,0.5,1,8.32%,-0.40%,-29.49%,22.72x,1.13x,10.40x,17.63x,71.59x,48.71%,7.70%,2.42%,6.26%,2.92%,3.78%,1.36%,14.46%
COR,Cencora Inc,Healthcare Equipment & Supplies,287.75,1.45%,4.00%,19.00%,1,1,1.0,1.0,0,1.0,0.5,1,-3.55%,24.78%,21.59%,33.67x,0.18x,55.51x,19.99x,86.94x,161.58%,2.53%,14.83%,10.06%,9.40%,6.76%,0.76%,4.98%
CNC,Centene Corp,Healthcare Providers & Services,59.47,-3.31%,-4.00%,-22.00%,1,0,1.0,1.0,0,1.0,0.5,1,-11.47%,3.98%,-32.74%,8.65x,0.17x,1.03x,6.15x,39.54x,12.59%,4.07%,0.42%,10.28%,10.46%,0.59%,0.00%,0.00%
CNP,CenterPoint Energy Inc,Multiline Utilities,38.24,-0.24%,5.00%,32.00%,0,0,0.0,1.0,0,1.0,0.0,1,-8.00%,15.30%,12.24%,24.97x,2.71x,2.21x,10.08x,66.95x,9.22%,2.28%,8.02%,7.43%,7.59%,3.89%,2.37%,-6.77%
CF,"CF Industries Holdings, Inc.",Chemicals,79.64,3.11%,1.00%,-2.00%,0,0,0.0,1.0,0,1.0,0.0,1,7.99%,16.00%,1.37%,11.73x,2.35x,3.06x,5.80x,28.94x,26.14%,11.70%,14.22%,-16.18%,8.93%,-3.78%,2.25%,10.76%
CHRW,CH Robinson Worldwide Inc,Freight & Logistics Services,89.08,-2.26%,-11.00%,28.00%,0,0,0.0,1.0,-1,0.0,0.5,1,-1.53%,0.65%,3.96%,23.06x,0.66x,6.62x,18.88x,44.86x,32.11%,9.50%,4.88%,15.22%,-5.98%,4.75%,2.57%,4.12%
CRL,Charles River Lbrtrs ntrntl Inc,Biotechnology & Medical Research,115.08,-2.37%,-26.00%,-50.00%,0,0,1.0,0.5,0,0.0,0.0,1,9.98%,-12.48%,-43.75%,0,1.66x,2.08x,17.83x,43.68x,-0.92%,-0.30%,-7.07%,7.09%,-3.81%,2.46%,0.00%,0.00%
SCHW,Charles Schwab Corp,Investment Banking & Investment Services,80.18,-0.91%,3.00%,7.00%,0,1,0.0,1.0,1,1.0,1.0,1,3.26%,11.73%,5.37%,25.94x,6.05x,3.93x,21.30x,85.25x,16.38%,1.39%,32.92%,18.98%,15.43%,10.62%,1.24%,8.02%
CHTR,Charter Communications Inc,Telecommunications Services,376.87,-2.30%,1.00%,47.00%,0,0,1.0,1.0,0,1.0,0.5,1,14.77%,18.25%,37.37%,11.44x,1.03x,3.54x,3.87x,82.32x,36.94%,4.00%,7.06%,18.94%,0.28%,1.60%,0.00%,0.00%
CVX,Chevron Corp,Oil & Gas,140.10,-4.90%,-16.00%,-16.00%,0,1,0.0,-1.0,0,0.0,0.5,1,-8.67%,-10.78%,-22.00%,15.51x,1.22x,1.58x,7.16x,16.51x,10.11%,6.07%,-23.48%,24.71%,-10.77%,4.21%,5.06%,6.49%
CMG,Chipotle Mexican Grill Inc,Hotels & Entertainment Services,50.90,-2.42%,4.00%,-19.00%,1,0,0.0,1.0,1,0.0,0.5,1,-3.77%,0.24%,-26.86%,44.62x,5.96x,19.63x,36.00x,0.00x,45.57%,17.89%,8.93%,18.03%,8.23%,12.73%,0.00%,0.00%
CB,Chubb Ltd,Insurance,282.18,-1.70%,-6.00%,14.00%,1,1,0.0,1.0,0,1.0,0.5,1,-4.42%,12.39%,-2.48%,13.82x,2.05x,1.75x,12.77x,17.42x,13.40%,3.57%,-4.89%,19.20%,5.56%,6.03%,1.35%,3.64%
CHD,Church & Dwight Co Inc,Personal &Household Products & Services,98.81,0.69%,-9.00%,-7.00%,0,1,1.0,-1.0,0,0.0,0.5,-1,-10.80%,-4.53%,-19.40%,40.85x,3.86x,5.15x,28.59x,32.64x,13.35%,6.60%,1.45%,7.16%,-0.30%,3.53%,1.24%,4.52%
CI,Cigna Group,Healthcare Providers & Services,334.82,1.24%,3.00%,-5.00%,1,0,1.0,-1.0,1,0.0,1.0,1,-12.55%,9.26%,-15.58%,17.32x,0.33x,2.10x,10.30x,42.97x,12.37%,3.55%,8.64%,11.32%,4.06%,4.16%,1.93%,168.67%
CINF,Cincinnati Financial Corp,Insurance,135.87,-2.68%,-8.00%,21.00%,1,0,0.0,1.0,0,1.0,0.5,1,0.78%,12.07%,11.09%,15.85x,2.07x,1.66x,14.28x,5.61x,10.97%,4.08%,-27.84%,49.18%,-1.82%,7.04%,2.40%,7.55%
CTAS,Cintas Corp,Professional & Commercial Services  ,208.28,1.45%,3.00%,25.00%,1,1,1.0,1.0,0,1.0,0.0,1,-0.78%,12.71%,14.77%,51.44x,8.82x,19.48x,39.51x,35.04x,40.15%,19.13%,15.83%,10.25%,7.33%,7.19%,0.70%,20.46%
CSCO,Cisco Systems Inc,Communications & Networking,56.84,-1.40%,-7.00%,18.00%,1,1,1.0,1.0,1,1.0,1.0,1,5.68%,2.59%,21.35%,25.97x,4.51x,5.46x,19.62x,38.93x,21.36%,8.07%,1.61%,6.33%,5.23%,5.23%,2.59%,3.22%
C,Citigroup Inc,Investment Banking & Investment Services,68.28,-3.34%,-3.00%,9.00%,0,1,1.0,1.0,1,0.0,0.5,1,1.13%,-5.48%,4.51%,11.60x,1.68x,0.71x,8.19x,0.00x,6.35%,0.54%,22.56%,28.43%,3.20%,3.04%,3.05%,2.57%
CFG,Citizens Financial Group Inc,Banking Services,37.34,-4.67%,-8.00%,5.00%,0,1,1.0,1.0,0,0.0,0.5,0,-0.27%,-9.82%,0.61%,12.66x,2.24x,0.77x,9.03x,0.00x,6.33%,0.70%,23.76%,31.20%,4.24%,8.43%,4.22%,4.32%
CLX,Clorox Co,Personal &Household Products & Services,138.78,-3.03%,-5.00%,-6.00%,0,0,0.0,-1.0,0,0.0,0.0,1,-10.67%,-10.45%,-11.29%,23.51x,2.30x,597.54x,17.35x,93.03x,"1,176.27%",12.53%,14.10%,-3.69%,-0.63%,-1.38%,3.73%,4.56%
CME,CME Group Inc,Investment Banking & Investment Services,267.92,2.92%,2.00%,26.00%,1,1,1.0,1.0,1,1.0,0.5,1,0.56%,18.92%,21.13%,28.35x,9.98x,3.75x,25.97x,11.40x,13.22%,2.50%,9.16%,4.11%,8.07%,4.04%,1.77%,28.23%
CMS,CMS Energy Corp,Multiline Utilities,72.51,-2.17%,-3.00%,22.00%,0,1,0.0,-1.0,0,0.0,0.5,1,-12.17%,2.73%,1.89%,21.42x,2.66x,2.56x,9.49x,65.53x,12.22%,2.67%,7.49%,7.52%,6.05%,4.16%,3.13%,6.13%
KO,Coca-Cola Co,Beverages,71.79,-0.66%,2.00%,16.00%,0,1,0.0,-1.0,1,0.0,1.0,1,-7.90%,6.36%,2.58%,28.48x,6.53x,11.69x,25.78x,63.89x,40.98%,10.74%,3.13%,7.74%,2.61%,5.31%,2.87%,4.33%
CTSH,Cognizant Technology Solutions Corp,Software & IT Services,72.58,-1.79%,-5.00%,8.00%,1,0,1.0,0.5,0,0.0,0.0,1,4.01%,-4.42%,5.12%,16.83x,1.96x,2.64x,13.65x,3.87x,16.61%,12.20%,6.74%,7.50%,5.46%,4.55%,1.55%,8.45%
COIN,Coinbase Global Inc,Financial Technology (Fintech) & Infrastructure,205.27,11.25%,21.00%,-11.00%,0,0,-1.0,1.0,0,0.0,0.5,1,25.24%,10.98%,6.71%,50.66x,9.95x,6.61x,43.29x,28.81x,15.83%,0.79%,-46.94%,45.13%,12.80%,9.04%,0.00%,0.00%
CL,Colgate-Palmolive Co,Personal &Household Products & Services,90.96,1.42%,1.00%,3.00%,0,1,1.0,-1.0,1,0.0,0.5,1,-7.94%,8.33%,-12.86%,25.74x,3.69x,202.94x,20.18x,91.86x,977.07%,18.35%,1.67%,7.10%,0.83%,3.96%,2.29%,2.98%
CMCSA,Comcast Corp,Telecommunications Services,33.77,-2.09%,-7.00%,-12.00%,1,0,0.0,-1.0,0,0.0,0.5,1,-2.15%,-0.52%,-19.20%,8.49x,1.05x,1.49x,4.24x,53.17x,18.57%,5.79%,0.23%,7.14%,-1.09%,3.05%,3.82%,8.10%
CAG,Conagra Brands Inc,Food & Tobacco,24.08,-2.02%,-8.00%,-21.00%,0,0,0.0,-1.0,0,-1.0,0.0,1,-15.95%,-5.95%,-34.11%,32.64x,0.91x,1.21x,18.96x,48.13x,3.67%,0.74%,-12.36%,1.71%,-2.90%,1.09%,6.28%,10.18%
COP,ConocoPhillips,Oil & Gas,92.93,-7.35%,-10.00%,-30.00%,0,1,0.0,1.0,1,0.0,1.0,1,-11.91%,-11.58%,-33.80%,10.93x,1.89x,1.67x,5.53x,26.72x,16.61%,8.69%,0.00%,0.00%,0.00%,0.00%,3.62%,18.50%
ED,Consolidated Edison Inc,Electrical Utilities & IPPs,111.13,1.38%,2.00%,19.00%,1,1,1.0,-1.0,-1,0.0,0.0,1,-12.75%,13.09%,-2.27%,19.09x,2.36x,1.57x,9.15x,51.94x,8.33%,2.75%,4.26%,6.57%,5.55%,4.17%,3.29%,2.32%
STZ,Constellation Brands Inc,Beverages,185.75,-3.09%,1.00%,-29.00%,1,0,0.0,1.0,0,0.0,0.5,1,-7.49%,12.27%,-32.58%,0,3.22x,4.78x,79.08x,61.71x,-0.98%,-0.13%,-7.55%,8.79%,-6.72%,1.34%,2.21%,5.50%
CEG^C12,Constellation Energy Corp,Electrical Utilities & IPPs,224.82,2.49%,9.00%,18.00%,1,1,0.0,1.0,0,1.0,0.5,1,25.49%,-1.36%,20.29%,30.75x,3.78x,7.04x,22.54x,38.53x,24.71%,5.73%,0.00%,0.00%,0.00%,0.00%,0.53%,0.00%
COO,Cooper Companies Inc,Healthcare Equipment & Supplies,81.85,-2.64%,-3.00%,-9.00%,1,0,0.0,0.5,0,-1.0,1.0,1,-9.84%,-6.37%,-25.43%,38.32x,4.04x,1.95x,20.21x,23.81x,5.25%,3.43%,8.13%,11.03%,5.69%,6.56%,0.00%,0.00%
CPRT,Copart Inc,Software & IT Services,59.81,-3.67%,10.00%,9.00%,0,0,0.0,1.0,0,0.0,0.0,1,-8.10%,9.10%,2.14%,40.09x,12.77x,6.67x,34.68x,0.00x,18.54%,16.69%,11.43%,12.18%,10.82%,8.82%,0.00%,0.00%
GLW,Corning Inc,Electronic Equipment & Parts,44.10,2.00%,-4.00%,41.00%,0,1,0.0,1.0,0,0.0,0.5,1,3.88%,-1.99%,20.57%,93.34x,3.06x,3.67x,22.07x,39.41x,4.14%,2.01%,20.92%,13.92%,7.52%,7.23%,2.31%,6.96%
CPAY,Corpay Inc,Professional & Commercial Services  ,316.86,-6.07%,-7.00%,6.00%,0,0,0.0,1.0,0,0.0,0.5,1,-4.88%,-7.45%,8.61%,22.87x,5.68x,6.65x,16.70x,70.05x,30.33%,5.92%,10.52%,16.09%,11.09%,10.45%,0.00%,0.00%
CTVA,Corteva Inc,Chemicals,61.56,0.44%,1.00%,12.00%,-1,1,0.0,1.0,1,0.0,1.0,1,4.35%,12.53%,9.35%,41.75x,2.78x,1.93x,19.74x,14.27x,4.66%,2.69%,0.00%,0.00%,0.00%,0.00%,0.99%,20.48%
CSGP,CoStar Group Inc,Software & IT Services,81.74,-2.51%,4.00%,-11.00%,0,0,0.0,-1.0,0,-1.0,0.5,1,-16.36%,-0.89%,-22.75%,257.96x,11.12x,3.67x,110.60x,10.53x,1.47%,1.20%,29.23%,63.10%,14.58%,12.65%,0.00%,0.00%
COST,Costco Wholesale Corp,Diversified Retail,978.54,0.76%,5.00%,34.00%,1,1,1.0,1.0,1,0.0,0.5,1,-2.01%,3.03%,15.34%,59.44x,1.71x,17.66x,45.43x,18.37x,32.89%,10.92%,9.30%,10.28%,7.97%,7.25%,0.51%,12.33%
CTRA,Coterra Energy Inc,Oil & Gas,25.72,-1.13%,-11.00%,-10.00%,0,0,1.0,-1.0,0,-1.0,1.0,1,-9.99%,-11.18%,-19.34%,14.26x,3.14x,1.31x,5.84x,23.16x,9.40%,5.72%,61.90%,13.97%,38.89%,8.10%,3.61%,19.14%
CRWD,Crowdstrike Holdings Inc,Software & IT Services,423.08,2.83%,19.00%,40.00%,0,1,0.0,1.0,1,1.0,1.0,1,0.69%,6.62%,16.79%,0,27.98x,33.56x,560.19x,18.31x,-0.69%,-0.22%,-12.72%,33.82%,20.75%,21.46%,0.00%,0.00%
CCI,Crown Castle Inc,Residential & Commercial REITs,100.92,-0.84%,-3.00%,7.00%,-1,0,-1.0,1.0,0,0.0,0.5,1,-6.89%,14.69%,-9.43%,0,7.27x,0.00x,0.00x,105.42x,-163.92%,-11.23%,-67.90%,265.38%,-35.90%,3.01%,4.25%,6.47%
CSX,CSX Corp,Freight & Logistics Services,27.87,-2.11%,-4.00%,-18.00%,0,1,0.0,1.0,0,1.0,0.5,1,2.23%,-1.16%,-18.16%,18.26x,4.03x,4.73x,11.73x,61.10x,26.13%,7.53%,-9.29%,16.27%,-1.95%,4.64%,1.70%,8.45%
CMI,Cummins Inc,Automobiles & Auto Parts,294.22,-3.11%,-7.00%,1.00%,0,1,1.0,0.5,1,1.0,0.5,1,2.77%,-12.34%,1.85%,16.01x,1.31x,4.06x,11.19x,38.48x,27.78%,8.98%,-2.62%,13.99%,-3.16%,5.80%,2.26%,7.39%
CVS,CVS Health Corp,Healthcare Providers & Services,64.93,-0.41%,-3.00%,-3.00%,0,1,1.0,-1.0,1,0.0,1.0,1,-14.23%,-3.12%,-4.76%,14.39x,0.20x,0.99x,7.73x,45.63x,7.00%,2.08%,13.10%,14.36%,3.86%,3.99%,4.42%,5.87%
DHR,Danaher Corp,Healthcare Equipment & Supplies,195.91,-1.82%,-4.00%,-20.00%,0,1,0.0,0.5,0,0.0,1.0,1,-10.42%,-5.59%,-36.26%,36.35x,5.63x,2.64x,21.92x,24.47x,7.22%,4.63%,2.94%,11.30%,2.73%,6.54%,0.68%,9.40%
DRI,Darden Restaurants Inc,Hotels & Entertainment Services,200.37,-2.45%,-3.00%,28.00%,1,1,1.0,1.0,1,1.0,0.5,1,-4.50%,9.43%,24.54%,22.94x,2.03x,10.84x,15.32x,62.87x,48.22%,8.84%,6.98%,12.84%,5.88%,8.92%,2.75%,11.23%
DVA,Davita Inc,Healthcare Providers & Services,140.50,-3.54%,-7.00%,5.00%,1,0,1.0,1.0,0,1.0,0.0,1,-6.81%,-0.59%,-6.62%,13.71x,0.81x,0.00x,5.53x,85.44x,260.92%,6.81%,12.40%,17.37%,5.47%,3.22%,0.00%,0.00%
DAY,Dayforce Inc,Software & IT Services,57.26,-1.32%,-1.00%,-5.00%,0,0,0.0,1.0,0,,0.5,1,-4.34%,-9.18%,-15.92%,365.01x,5.15x,3.60x,38.74x,31.91x,1.03%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DECK,Deckers Outdoor Corp,Textiles & Apparel,109.15,-0.67%,-2.00%,-21.00%,1,0,0.0,1.0,0,0.0,0.5,1,6.99%,-11.99%,-23.03%,19.90x,3.84x,7.62x,22.11x,0.00x,41.82%,28.81%,-1.74%,9.65%,8.38%,7.99%,0.00%,0.00%
DE,Deere & Co,"Machinery, Equipment & Components",460.20,-0.13%,-1.00%,17.00%,0,1,1.0,1.0,1,0.0,0.5,1,4.22%,8.91%,21.35%,24.95x,3.07x,5.76x,17.84x,73.12x,24.07%,5.35%,-26.85%,19.74%,-14.84%,8.03%,1.26%,14.17%
DELL,Dell Technologies Inc,"Computers, Phones & Household Electronics",94.47,0.97%,3.00%,-24.00%,0,1,1.0,1.0,1,0.0,1.0,1,11.34%,-2.22%,-31.18%,17.53x,0.80x,0.00x,9.94x,105.98x,0.00%,5.65%,0.00%,0.00%,0.00%,0.00%,1.88%,0.00%
DAL,Delta Air Lines Inc,Passenger Transportation Services,41.96,-3.54%,-5.00%,-17.00%,0,1,0.0,1.0,1,0.0,1.0,1,8.36%,-20.33%,-14.58%,8.59x,0.51x,2.05x,5.14x,50.60x,27.52%,4.81%,-12.01%,21.77%,0.39%,6.24%,1.24%,-19.78%
DVN,Devon Energy Corp,Oil & Gas,31.55,-6.77%,-15.00%,-41.00%,0,1,0.0,-1.0,1,0.0,0.5,1,-7.10%,-15.41%,-42.03%,7.09x,1.19x,1.38x,3.18x,37.59x,20.88%,10.17%,-18.67%,7.65%,4.41%,-0.09%,3.66%,32.88%
DXCM,DexCom Inc,Healthcare Equipment & Supplies,71.18,-0.98%,6.00%,-42.00%,0,0,0.0,1.0,0,-1.0,1.0,1,12.52%,-0.57%,-40.96%,65.05x,8.02x,14.67x,43.74x,52.46x,23.72%,8.09%,23.78%,24.63%,14.38%,15.29%,0.00%,0.00%
FANG,Diamondback Energy Inc,Oil & Gas,137.82,-3.99%,-13.00%,-34.00%,0,0,0.0,0.5,1,0.0,1.0,1,-6.03%,-11.95%,-35.63%,8.34x,3.09x,1.02x,5.07x,24.99x,14.26%,8.79%,-18.17%,-3.54%,28.50%,-1.15%,3.84%,64.53%
DLR,Digital Realty Trust Inc,Residential & Commercial REITs,160.35,0.10%,13.00%,12.00%,0,0,0.0,1.0,0,0.0,1.0,1,2.56%,2.25%,6.58%,145.76x,10.04x,2.75x,26.31x,42.34x,2.01%,0.93%,-13.66%,20.86%,5.79%,11.00%,2.91%,2.80%
DG,Dollar General Corp,Diversified Retail,92.46,8.23%,9.00%,-34.00%,0,1,1.0,1.0,0,1.0,0.5,1,0.72%,38.43%,-35.41%,19.68x,0.55x,2.99x,10.56x,45.70x,15.89%,3.63%,9.20%,10.93%,3.90%,4.05%,2.34%,13.02%
DLTR,Dollar Tree Inc,Diversified Retail,80.17,3.92%,11.00%,-34.00%,0,0,0.0,1.0,0,0.0,0.5,1,3.99%,23.49%,-28.16%,18.64x,0.84x,4.87x,12.05x,46.31x,18.47%,5.13%,1.18%,14.15%,-38.52%,5.68%,0.00%,0.00%
D,Dominion Energy Inc,Electrical Utilities & IPPs,53.74,1.13%,-4.00%,5.00%,0,0,0.0,1.0,0,0.0,0.0,1,-2.05%,3.49%,-5.49%,24.13x,3.18x,1.80x,10.62x,58.94x,7.48%,1.94%,22.38%,5.60%,13.91%,5.17%,4.80%,-6.16%
DPZ,Domino's Pizza Inc,Hotels & Entertainment Services,490.64,-0.75%,9.00%,4.00%,1,0,0.0,1.0,1,0.0,0.5,1,-7.21%,7.05%,-14.42%,27.62x,3.49x,0.00x,23.72x,468.06x,0.00%,33.57%,6.41%,9.07%,4.88%,6.59%,1.44%,18.36%
DASH,DoorDash Inc,Software & IT Services,187.88,1.91%,3.00%,42.00%,0,1,1.0,1.0,1,0.0,0.5,1,0.73%,4.00%,63.46%,276.75x,7.57x,10.14x,94.05x,0.00x,4.41%,2.67%,655.17%,69.86%,19.91%,18.64%,0.00%,0.00%
DOV,Dover Corp,"Machinery, Equipment & Components",170.33,-2.44%,-3.00%,-6.00%,0,0,0.0,1.0,0,1.0,0.5,1,-0.51%,-8.77%,-12.89%,23.19x,3.10x,3.45x,17.38x,29.40x,17.45%,8.71%,12.67%,8.99%,3.06%,4.63%,1.15%,1.11%
DOW^I17,Dow Inc,Chemicals,29.95,-4.11%,-13.00%,-48.00%,1,0,0.0,0.5,0,0.0,0.0,1,-9.55%,-24.17%,-54.78%,71.66x,0.48x,1.21x,6.21x,48.93x,1.60%,0.64%,-78.36%,248.65%,-2.77%,2.78%,9.77%,5.92%
DHI,DR Horton Inc,Homebuilding & Construction Supplies,125.17,-3.64%,-1.00%,-14.00%,1,1,0.0,0.5,0,1.0,0.0,1,-11.43%,-3.24%,-25.30%,9.00x,1.03x,1.51x,8.24x,20.77x,17.83%,12.38%,-19.94%,9.41%,-8.03%,3.47%,1.35%,14.87%
DTE,DTE Energy Co,Electrical Utilities & IPPs,135.69,-1.23%,-1.00%,23.00%,0,1,0.0,-0.5,1,1.0,0.5,1,-7.73%,7.46%,6.29%,18.18x,2.05x,2.34x,8.47x,66.07x,13.28%,3.22%,5.56%,7.21%,7.79%,2.03%,3.24%,-2.84%
DUK,Duke Energy Corp,Electrical Utilities & IPPs,120.67,-0.32%,0.00%,23.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-10.11%,6.95%,1.49%,19.21x,2.90x,1.81x,7.93x,62.53x,9.57%,2.65%,7.12%,6.17%,4.51%,3.61%,3.62%,-3.62%
DD^I17,DuPont de Nemours Inc,Electronic Equipment & Parts,65.67,-0.25%,-11.00%,-11.00%,1,1,0.0,0.5,0,0.0,1.0,1,-3.33%,-14.04%,-21.35%,2471.29x,2.27x,1.25x,22.90x,23.57x,0.06%,0.13%,4.67%,8.92%,3.09%,4.10%,2.41%,-6.79%
EMN,Eastman Chemical Co,Chemicals,75.71,0.14%,-13.00%,-21.00%,0,0,0.0,0.5,1,-1.0,0.5,1,-5.49%,-15.28%,-25.66%,10.35x,1.00x,1.60x,6.55x,45.79x,16.16%,6.23%,-6.34%,11.64%,-1.20%,3.35%,4.08%,5.62%
ETN,Eaton Corporation PLC,"Machinery, Equipment & Components",287.74,-1.76%,5.00%,-11.00%,1,1,1.0,1.0,1,1.0,1.0,1,5.02%,8.87%,-13.24%,32.40x,4.96x,6.79x,25.80x,35.21x,20.83%,10.14%,10.74%,13.04%,9.62%,7.99%,1.30%,5.77%
EBAY,eBay Inc,Software & IT Services,66.32,2.20%,1.00%,30.00%,1,1,0.0,1.0,1,1.0,0.5,1,0.80%,8.77%,24.13%,17.16x,3.23x,6.75x,14.01x,57.67x,36.48%,10.14%,9.22%,8.07%,3.21%,3.79%,1.61%,14.04%
ECL,Ecolab Inc,Chemicals,239.03,1.47%,-5.00%,8.00%,1,1,0.0,0.5,1,1.0,0.5,1,1.72%,1.71%,0.93%,35.33x,4.69x,8.29x,24.07x,46.09x,24.62%,9.72%,12.78%,10.27%,0.44%,5.15%,1.00%,5.10%
EIX,Edison International,Electrical Utilities & IPPs,58.35,-2.40%,0.00%,-17.00%,0,1,1.0,1.0,-1,1.0,0.5,1,-9.31%,13.43%,-32.40%,7.97x,1.25x,1.44x,3.79x,67.13x,19.16%,3.47%,22.52%,1.16%,6.85%,3.70%,5.89%,4.95%
EW,Edwards Lifesciences Corp,Healthcare Equipment & Supplies,75.54,-2.72%,7.00%,-12.00%,1,0,0.0,1.0,0,1.0,0.5,1,-6.54%,4.83%,-24.69%,30.86x,7.92x,4.33x,27.80x,5.54x,16.73%,12.63%,2.06%,11.69%,8.52%,9.50%,0.00%,0.00%
EA,Electronic Arts Inc,Software & IT Services,146.72,-1.97%,2.00%,15.00%,0,1,1.0,1.0,0,1.0,0.5,0,-5.83%,18.12%,-1.43%,34.58x,4.93x,5.79x,25.68x,22.78x,16.13%,8.69%,32.90%,10.59%,6.46%,5.60%,0.52%,0.00%
ELV,Elevance Health Inc,Healthcare Providers & Services,413.82,-1.41%,-2.00%,-22.00%,0,1,1.0,-1.0,0,0.0,1.0,1,-15.81%,3.11%,-36.24%,15.00x,0.47x,2.04x,11.67x,41.31x,14.24%,5.10%,4.21%,14.20%,11.01%,7.16%,1.78%,15.30%
LLY,Eli Lilly And Co,Pharmaceuticals,877.29,-2.47%,8.00%,21.00%,0,1,1.0,-1.0,1,0.0,1.0,1,-21.90%,-14.22%,-19.08%,58.14x,13.83x,43.00x,52.40x,70.85x,77.73%,14.49%,66.13%,36.61%,31.82%,19.56%,0.84%,15.05%
EMR,Emerson Electric Co,"Machinery, Equipment & Components",104.50,-2.41%,-3.00%,-4.00%,1,1,0.0,1.0,-1,1.0,0.5,1,4.88%,-1.50%,-7.04%,33.98x,3.75x,3.43x,18.70x,42.71x,9.82%,4.34%,8.93%,8.03%,3.43%,4.81%,1.80%,1.39%
ENPH,Enphase Energy Inc,Renewable Energy,46.47,-23.57%,-24.00%,-58.00%,-1,0,1.0,-1.0,-1,-1.0,0.0,1,-22.01%,-39.86%,-71.52%,36.69x,3.50x,6.15x,21.71x,59.72x,17.13%,4.68%,2.11%,25.21%,9.86%,9.69%,0.00%,0.00%
ETR,Entergy Corp,Electrical Utilities & IPPs,85.09,-0.66%,0.00%,59.00%,0,1,1.0,0.5,0,0.0,0.5,1,-10.19%,-0.87%,31.03%,26.37x,3.04x,2.31x,9.53x,66.61x,9.05%,2.10%,6.03%,12.40%,9.00%,6.06%,2.95%,4.63%
EOG,EOG Resources Inc,Oil & Gas,114.14,-4.38%,-11.00%,-17.00%,0,1,1.0,0.5,0,1.0,0.5,1,-8.32%,-14.49%,-20.16%,10.27x,2.60x,2.07x,5.97x,13.85x,20.90%,13.24%,-19.19%,10.33%,-5.57%,4.44%,3.52%,27.45%
EPAM,EPAM Systems Inc,Software & IT Services,158.89,-2.20%,-6.00%,-33.00%,0,0,0.0,0.5,0,0.0,1.0,1,7.31%,-15.96%,-13.35%,25.26x,2.10x,2.81x,20.04x,0.68x,11.57%,9.05%,-0.37%,12.01%,13.18%,7.46%,0.00%,0.00%
EQT,EQT Corp,Oil & Gas,51.12,-0.55%,-5.00%,24.00%,-1,0,0.0,1.0,1,0.0,0.5,1,7.10%,10.95%,22.76%,98.85x,5.95x,1.61x,12.12x,25.59x,2.06%,1.40%,104.97%,36.36%,53.23%,20.04%,1.13%,39.33%
EFX,Equifax Inc,Professional & Commercial Services  ,256.33,-4.27%,7.00%,15.00%,0,0,0.0,1.0,1,0.0,1.0,1,-3.85%,14.35%,-1.17%,53.77x,5.71x,6.57x,25.10x,49.26x,12.83%,5.10%,4.39%,22.60%,5.63%,10.61%,0.76%,0.00%
EQIX,Equinix Inc,Residential & Commercial REITs,844.68,-0.09%,4.00%,15.00%,0,1,0.0,1.0,0,1.0,1.0,1,-0.45%,-3.50%,0.73%,90.03x,9.58x,6.10x,29.35x,56.57x,7.08%,2.72%,32.00%,10.77%,5.44%,8.33%,2.17%,12.02%
EQR,Equity Residential,Residential & Commercial REITs,69.31,-3.61%,-4.00%,5.00%,0,1,0.0,0.5,0,0.0,0.5,1,-7.48%,-0.19%,-6.36%,26.10x,8.62x,2.35x,12.81x,40.37x,9.01%,5.16%,0.00%,0.00%,0.00%,0.00%,4.06%,-7.35%
ERIE,Erie Indemnity Co,Insurance,347.33,-5.24%,-12.00%,-5.00%,1,0,0.0,-1.0,0,-1.0,0.5,1,-19.89%,-5.73%,-18.43%,33.17x,4.67x,8.82x,0.00x,0.00x,32.38%,22.24%,8.97%,10.07%,9.50%,7.84%,1.57%,7.21%
ESS,Essex Property Trust Inc,Residential & Commercial REITs,277.57,-4.09%,-10.00%,12.00%,0,0,0.0,-1.0,0,0.0,0.5,1,-7.08%,-2.63%,-5.42%,26.20x,9.72x,3.16x,13.23x,54.02x,12.09%,5.67%,-27.27%,-4.69%,6.53%,3.92%,3.76%,4.61%
EL,Estee Lauder Companies Inc,Personal &Household Products & Services,59.14,1.18%,-9.00%,-60.00%,0,0,0.0,0.5,0,0.0,0.0,1,3.12%,-5.44%,-55.25%,0,1.57x,5.33x,0.00x,62.69x,-17.27%,-4.10%,-43.63%,50.00%,-8.44%,1.81%,2.17%,9.59%
